;CustomerID;NumberCarsOwned;TotalChildren;YearlyIncome;AvgMonthSpend;cluster;desc;Toys_interested;location
94;22539;1;0;58037;52,65;1;Insatisfechos;no;sur
95;26226;2;-1;106062;51,69;2;Con quejas;no;sur
96;22654;1;0;28008;56,39;1;Insatisfechos;no;sur
97;20389;2;-3;86828;50,62;3;Felices;no;sur
98;27716;2;0;61109;57,61;2;Con quejas;no;sur
99;23670;1;-2;35142;47,02;3;Felices;no;sur
100;28410;2;0;59673;48,54;1;Insatisfechos;no;sur
101;21755;3;-2;133272;56,63;4;Encantados;no;sur
102;12254;3;-1;81957;50,09;2;Con quejas;no;sur
103;17082;1;0;103314;52,78;2;Con quejas;no;sur
104;25122;2;0;103546;51,61;2;Con quejas;no;sur
105;25619;0;-1;58317;48,05;3;Felices;no;sur
106;24940;2;-2;55825;48,53;3;Felices;no;sur
107;13117;1;0;36367;48,33;1;Insatisfechos;no;sur
108;12460;2;0;107852;54,89;2;Con quejas;no;sur
109;13619;0;0;105888;51,31;1;Insatisfechos;no;sur
110;23455;1;0;31956;50,51;1;Insatisfechos;no;sur
111;20986;0;0;83026;50,25;1;Insatisfechos;no;sur
112;26141;2;0;110808;56,85;2;Con quejas;no;sur
113;19074;1;-2;51566;50,94;4;Encantados;no;sur
114;23214;3;-2;132962;54,67;4;Encantados;no;sur
115;11313;2;0;135064;55,61;2;Con quejas;no;sur
116;26113;2;0;135997;54,2;2;Con quejas;no;sur
117;15865;1;0;57770;49,68;1;Insatisfechos;no;sur
118;25060;1;0;113290;54,55;2;Con quejas;no;sur
119;17902;1;-2;81214;54,11;4;Encantados;no;sur
120;27898;2;-2;80624;49,58;3;Felices;no;sur
121;19921;2;-1;106908;53,03;2;Con quejas;no;sur
122;21186;1;0;51796;56,24;1;Insatisfechos;no;sur
123;19129;2;-2;80764;52,27;4;Encantados;no;sur
124;25626;0;-1;35297;47,28;1;Insatisfechos;no;sur
125;15009;1;0;78604;51,54;1;Insatisfechos;no;sur
126;22070;3;0;102869;57,71;2;Con quejas;no;sur
127;13303;1;-2;62293;54,24;4;Encantados;no;sur
128;27822;1;0;34607;48,11;1;Insatisfechos;no;sur
129;14908;2;-2;53042;50,06;3;Felices;no;sur
130;27981;1;0;106195;55,41;2;Con quejas;no;sur
131;15995;2;-2;106360;51,7;2;Con quejas;no;sur
132;23808;2;-1;110288;54,03;4;Encantados;no;sur
133;18679;1;0;112590;52,71;2;Con quejas;no;sur
134;23721;0;-2;30844;52,73;3;Felices;no;sur
135;21351;2;-3;109611;51;4;Encantados;no;sur
136;17867;2;0;111685;52,96;2;Con quejas;no;sur
137;16907;0;-1;30259;49,14;3;Felices;no;sur
138;20288;2;0;82339;52,62;2;Con quejas;no;sur
139;22874;1;0;87633;61,12;2;Con quejas;no;sur
140;20681;1;0;80782;51,66;1;Insatisfechos;no;sur
141;15370;1;-2;57125;48,74;3;Felices;no;sur
142;22593;2;0;56092;50,33;1;Insatisfechos;no;sur
143;11884;2;0;131943;52,71;2;Con quejas;no;sur
144;25021;2;-2;52627;50,78;3;Felices;no;sur
145;15982;1;-2;26331;53,52;3;Felices;no;sur
146;19088;1;0;27908;48,73;1;Insatisfechos;no;sur
147;19331;1;0;56751;60,78;2;Con quejas;no;sur
148;16587;1;-2;32619;57,06;4;Encantados;no;sur
149;11260;3;0;105983;51,26;2;Con quejas;no;sur
150;18687;1;-2;128877;52,95;4;Encantados;no;sur
151;25906;2;-1;55000;49,93;3;Felices;no;sur
152;22969;1;0;50910;48,8;1;Insatisfechos;no;sur
153;29397;2;-1;57493;52,42;4;Encantados;no;sur
154;25702;0;-1;82095;53,16;3;Felices;no;sur
155;12346;2;0;136001;56,7;2;Con quejas;no;sur
156;18272;3;0;104443;51,04;2;Con quejas;no;sur
157;25159;1;0;59013;49,99;1;Insatisfechos;no;sur
158;25368;1;0;54240;56,33;1;Insatisfechos;no;sur
159;13369;3;-2;103150;50,8;2;Con quejas;no;sur
160;18059;3;-2;108823;53,12;4;Encantados;no;sur
161;12522;2;0;77300;53,95;2;Con quejas;no;sur
162;16375;2;-1;82308;49,8;2;Con quejas;no;sur
163;17683;1;0;129719;56,22;2;Con quejas;no;sur
164;14990;0;0;36588;46,38;1;Insatisfechos;no;sur
165;29201;3;0;81053;50,38;2;Con quejas;no;sur
166;15111;0;-2;35160;48,62;3;Felices;no;sur
167;25772;1;0;57655;57,32;2;Con quejas;no;sur
168;12178;2;-1;61513;57,36;4;Encantados;no;sur
169;14083;0;0;57933;48,84;1;Insatisfechos;no;sur
170;14281;2;0;104429;54,84;2;Con quejas;no;sur
171;19895;0;-2;32494;52,5;3;Felices;no;sur
172;11137;2;0;51293;48,28;1;Insatisfechos;no;sur
173;19042;3;-2;78805;49,99;4;Encantados;no;sur
174;14690;1;0;33244;48,21;1;Insatisfechos;no;sur
175;20331;1;-1;30115;59,27;4;Encantados;no;sur
176;16928;1;-1;55404;50,3;3;Felices;no;sur
177;12013;0;0;34165;47,46;1;Insatisfechos;no;sur
178;17530;2;-2;57132;53,79;4;Encantados;no;sur
179;27131;2;0;132560;52,2;2;Con quejas;no;sur
180;26110;1;-2;53062;54,72;4;Encantados;no;sur
181;13343;0;-2;79950;52,93;3;Felices;no;sur
182;29138;2;-1;83167;57,56;2;Con quejas;no;sur
183;22522;0;0;77729;51,78;1;Insatisfechos;no;sur
184;18161;1;-1;54058;48,36;3;Felices;no;sur
185;27571;1;-2;87071;50,5;3;Felices;no;sur
186;16500;0;0;26818;47,15;1;Insatisfechos;no;sur
187;14881;0;-2;52630;49,83;3;Felices;no;sur
188;26384;2;-2;83410;54,85;2;Con quejas;no;sur
189;26162;2;-2;83299;51,33;4;Encantados;no;sur
190;27398;1;-1;54201;50,72;3;Felices;no;sur
191;13710;2;0;133136;53,04;2;Con quejas;no;sur
192;21252;2;0;60371;51,53;1;Insatisfechos;no;sur
193;14911;1;-2;55220;48,65;3;Felices;no;sur
194;22102;1;-2;85098;53,81;3;Felices;no;sur
195;28082;2;0;129013;54,8;2;Con quejas;no;sur
196;29044;2;0;106013;55,82;2;Con quejas;no;sur
197;26800;2;0;77922;51,39;2;Con quejas;no;sur
198;16392;3;0;104734;51,2;2;Con quejas;no;sur
199;11961;2;0;83202;53,98;2;Con quejas;no;sur
200;25001;1;-2;61391;50,08;3;Felices;no;sur
201;21494;0;0;82687;52,24;1;Insatisfechos;no;sur
202;21128;1;0;83361;50,99;1;Insatisfechos;no;sur
203;15720;2;0;57161;47,93;1;Insatisfechos;no;sur
204;15048;3;-2;109320;54,16;4;Encantados;no;sur
205;26631;1;-2;27866;58,64;4;Encantados;no;sur
206;20082;1;0;53889;49,64;1;Insatisfechos;no;sur
207;22147;0;-2;53916;48,5;3;Felices;no;sur
208;16522;1;0;56880;48,52;1;Insatisfechos;no;sur
209;22201;3;-2;85533;53,51;4;Encantados;no;sur
210;25972;1;0;109072;51,35;2;Con quejas;no;sur
211;17885;4;-2;110148;52,17;2;Con quejas;no;sur
212;13419;2;-2;103959;55,47;4;Encantados;no;sur
213;15827;1;0;54230;49,34;1;Insatisfechos;no;sur
214;26644;2;0;133903;54,91;2;Con quejas;no;sur
215;20335;1;0;79311;57,12;2;Con quejas;no;sur
216;28170;2;-2;84084;49,84;3;Felices;no;sur
217;26306;2;0;54821;51,55;1;Insatisfechos;no;sur
218;14739;2;-2;77748;56,89;4;Encantados;no;sur
219;19748;0;-2;27122;46,82;3;Felices;no;sur
220;14969;0;0;62520;50,43;1;Insatisfechos;no;sur
221;22061;1;0;55096;48,2;1;Insatisfechos;no;sur
222;21464;2;-2;83229;54,53;4;Encantados;no;sur
223;23570;0;-3;60347;48,28;3;Felices;no;sur
224;11259;0;-1;27006;47,03;3;Felices;no;sur
225;23631;0;0;56071;53,02;1;Insatisfechos;no;sur
226;17165;0;0;51705;48,04;1;Insatisfechos;no;sur
227;28860;0;-2;87993;61,69;4;Encantados;no;sur
228;21309;2;-2;81913;50,37;3;Felices;no;sur
229;18266;0;0;55838;51,84;1;Insatisfechos;no;sur
230;26936;1;0;32924;48,47;1;Insatisfechos;no;sur
231;19540;2;-2;136633;52,44;4;Encantados;no;sur
232;23475;1;-3;28954;45,77;3;Felices;no;sur
233;15557;1;-1;78271;54,57;2;Con quejas;no;sur
234;28144;0;0;54082;52,55;1;Insatisfechos;no;sur
235;25222;2;0;102019;51,15;2;Con quejas;no;sur
236;24481;1;-2;58336;55,31;3;Felices;no;sur
237;26137;2;0;106235;50,93;2;Con quejas;no;sur
238;28577;1;-2;132506;55,78;2;Con quejas;no;sur
239;22223;0;-2;61547;52,04;3;Felices;no;sur
240;16903;2;-1;134871;54,78;4;Encantados;no;sur
241;12277;1;0;51970;48,52;1;Insatisfechos;no;sur
242;23849;3;0;129017;52,94;2;Con quejas;no;sur
243;27965;1;0;51980;49,82;1;Insatisfechos;no;sur
244;18258;1;0;107530;53,85;2;Con quejas;no;sur
245;15469;1;-1;80444;49,84;1;Insatisfechos;no;sur
246;24412;2;0;105715;52,54;2;Con quejas;no;sur
247;29260;0;-1;77151;53,76;1;Insatisfechos;no;sur
248;19547;1;-2;81669;50,68;3;Felices;no;sur
249;28680;2;0;81432;53,33;2;Con quejas;no;sur
250;21877;0;0;34298;49,64;1;Insatisfechos;no;sur
251;20141;1;-2;107934;50,55;3;Felices;no;sur
252;27061;2;0;109457;55,18;2;Con quejas;no;sur
253;23147;1;-1;54266;48,71;3;Felices;no;sur
254;14169;0;0;26150;45,07;1;Insatisfechos;no;sur
255;19142;3;-2;112302;65,29;4;Encantados;no;sur
256;20199;3;-1;81542;52,28;4;Encantados;no;sur
257;12114;2;-2;51854;48,96;3;Felices;no;sur
258;26343;0;0;54153;49,83;1;Insatisfechos;no;sur
259;28322;1;0;105736;60,95;2;Con quejas;no;sur
260;19498;2;0;54626;49,02;1;Insatisfechos;no;sur
261;14131;2;0;83144;49,95;2;Con quejas;no;sur
262;15157;2;-2;135029;52,19;4;Encantados;no;sur
263;11199;0;-2;52476;48,37;3;Felices;no;sur
264;28902;0;0;84807;51,68;1;Insatisfechos;no;sur
265;12016;0;0;36634;47,45;1;Insatisfechos;no;sur
266;16065;3;0;84866;52,34;2;Con quejas;no;sur
267;27085;1;-2;79867;51,3;3;Felices;no;sur
268;12707;0;-2;51783;48,34;3;Felices;no;sur
269;15046;1;-2;55768;49,91;3;Felices;no;sur
270;21710;2;-2;80690;53,74;4;Encantados;no;sur
271;24292;0;0;30247;46,58;1;Insatisfechos;no;sur
272;28225;2;-2;83705;54,01;2;Con quejas;no;sur
273;19101;2;0;106597;50,76;2;Con quejas;no;sur
274;24775;0;-2;60958;48,95;3;Felices;no;sur
275;17608;2;0;111130;63,85;2;Con quejas;no;sur
276;25440;0;-1;53604;48,03;1;Insatisfechos;no;sur
277;24290;1;0;57269;48,55;1;Insatisfechos;no;sur
278;18599;2;0;61287;51,94;2;Con quejas;no;sur
279;23548;1;0;77098;49,88;1;Insatisfechos;no;sur
280;14271;2;0;52607;47,88;1;Insatisfechos;no;sur
281;16221;2;-2;130743;56,86;2;Con quejas;no;sur
282;20366;0;-2;59358;50,77;3;Felices;no;sur
283;28583;0;-1;54025;58,93;4;Encantados;no;sur
284;24977;2;-2;79556;52,52;4;Encantados;no;sur
285;22988;1;-2;128521;52,14;2;Con quejas;no;sur
286;21042;1;-2;51642;60,33;4;Encantados;no;sur
287;22825;2;0;52484;48,06;1;Insatisfechos;no;sur
288;29385;0;0;30051;54,72;1;Insatisfechos;no;sur
289;26269;1;-1;25495;46,72;3;Felices;no;sur
290;18335;2;-2;136250;52,89;4;Encantados;no;sur
291;19525;0;0;51351;50,49;1;Insatisfechos;no;sur
292;22072;2;0;134516;54,09;2;Con quejas;no;sur
293;17240;2;0;58340;47,92;1;Insatisfechos;no;sur
294;29014;3;-2;78194;51,27;4;Encantados;no;sur
295;11814;0;-2;27849;44,95;3;Felices;no;sur
296;25304;0;0;31315;45,82;1;Insatisfechos;no;sur
297;28364;2;-2;133103;55,68;4;Encantados;no;sur
298;15070;1;0;85953;53,66;2;Con quejas;no;sur
299;21073;0;0;78356;53,89;1;Insatisfechos;no;sur
300;19136;2;0;132022;59,88;2;Con quejas;no;sur
301;21074;2;0;103281;52,11;2;Con quejas;no;sur
302;27164;0;0;36326;47,59;1;Insatisfechos;no;sur
303;17610;2;0;80632;51,45;2;Con quejas;no;sur
304;29291;1;-1;54443;48,16;1;Insatisfechos;no;sur
305;27808;1;-2;53720;51,27;3;Felices;no;sur
306;13715;2;-2;138094;57,58;4;Encantados;no;sur
307;23204;2;0;81168;53,38;2;Con quejas;no;sur
308;19846;0;-2;110907;51,67;3;Felices;no;sur
309;18077;2;-2;55051;48,71;3;Felices;no;sur
310;14192;1;-2;60460;50,25;3;Felices;no;sur
311;12436;1;-2;113065;56,2;2;Con quejas;no;sur
312;12751;2;0;78659;51,01;2;Con quejas;no;sur
313;26370;0;-2;60825;49,8;3;Felices;no;sur
314;17751;0;0;51307;54,85;1;Insatisfechos;no;sur
315;21357;2;-1;135850;53,04;4;Encantados;no;sur
316;26851;1;0;56139;50,17;1;Insatisfechos;no;sur
317;19939;1;-2;106292;54,08;2;Con quejas;no;sur
318;17590;0;-2;86492;53,3;3;Felices;no;sur
319;22922;2;0;78270;49,89;2;Con quejas;no;sur
320;16231;2;-2;76306;51,6;4;Encantados;no;sur
321;20954;0;0;26611;49,1;1;Insatisfechos;no;sur
322;27727;1;0;53598;50;1;Insatisfechos;no;sur
323;24268;1;-2;55540;48,25;3;Felices;no;sur
324;12908;2;0;138508;52,1;2;Con quejas;no;sur
325;24938;0;-3;103553;50,42;3;Felices;no;sur
326;20842;2;0;106124;61,62;2;Con quejas;no;sur
327;13827;3;0;87137;50,42;2;Con quejas;no;sur
328;26825;0;-1;53321;56,64;1;Insatisfechos;no;sur
329;22442;2;0;106613;51,41;2;Con quejas;no;sur
330;23344;0;0;53096;47,62;1;Insatisfechos;no;sur
331;28227;1;0;60793;52,1;1;Insatisfechos;no;sur
332;16411;1;0;30763;59,24;1;Insatisfechos;no;sur
333;12925;0;-2;135185;52,68;2;Con quejas;no;sur
334;28605;1;0;57677;59,09;2;Con quejas;no;sur
335;16051;1;-2;78065;59,07;4;Encantados;no;sur
336;15535;2;-2;82159;55,33;4;Encantados;no;sur
337;14684;3;-2;104925;60,88;4;Encantados;no;sur
338;24098;2;0;53762;50,67;1;Insatisfechos;no;sur
339;15718;0;0;85651;50,85;1;Insatisfechos;no;sur
340;17774;1;-1;78680;50,72;3;Felices;no;sur
341;17709;2;-2;138681;53,75;2;Con quejas;no;sur
342;27781;0;0;86677;53,75;1;Insatisfechos;no;sur
343;15057;0;0;84713;50,43;1;Insatisfechos;no;sur
344;27418;3;0;102387;51,8;2;Con quejas;no;sur
345;13647;0;0;26017;47,35;1;Insatisfechos;no;sur
346;13807;2;0;78140;56,06;2;Con quejas;no;sur
347;22804;2;-2;57071;49,02;3;Felices;no;sur
348;22117;1;-1;36338;47;1;Insatisfechos;no;sur
349;26032;2;-1;55936;48,44;1;Insatisfechos;no;sur
350;18593;2;0;59776;49,16;1;Insatisfechos;no;sur
351;25858;1;-1;53200;50,59;1;Insatisfechos;no;sur
352;26154;0;-2;33934;50,69;3;Felices;no;sur
353;28521;0;0;58601;49,56;1;Insatisfechos;no;sur
354;27768;3;0;78945;51,41;2;Con quejas;no;sur
355;26883;0;0;32044;48,07;1;Insatisfechos;no;sur
356;16325;2;-1;112047;53,7;4;Encantados;no;sur
357;26991;0;-1;79952;49,27;1;Insatisfechos;no;sur
358;20805;1;-2;35702;52,27;3;Felices;no;sur
359;27333;0;-2;57286;48,22;3;Felices;no;sur
360;13902;0;-1;57036;49,26;1;Insatisfechos;no;sur
361;21475;2;-1;82552;52,33;4;Encantados;no;sur
362;15883;1;-2;130517;55,81;4;Encantados;no;sur
363;25781;0;-1;32990;48,65;1;Insatisfechos;no;sur
364;25045;1;0;35976;46,76;1;Insatisfechos;no;sur
365;15594;0;0;80570;52,34;1;Insatisfechos;no;sur
366;13306;1;-2;58899;48,79;3;Felices;no;sur
367;13666;0;0;61956;52,08;1;Insatisfechos;no;sur
368;28613;1;-2;27870;46,65;3;Felices;no;sur
369;14676;2;0;51704;52,13;1;Insatisfechos;no;sur
370;28427;0;0;105891;54,67;2;Con quejas;no;sur
371;15213;3;-2;82216;49,39;2;Con quejas;no;sur
372;18588;1;0;58372;48,93;1;Insatisfechos;no;sur
373;18841;1;-2;56626;52,89;3;Felices;no;sur
374;13288;2;-1;53367;55,4;2;Con quejas;no;sur
375;22022;0;0;28750;45,95;1;Insatisfechos;no;sur
376;13197;2;-2;59994;49,44;3;Felices;no;sur
377;14174;2;-2;54516;51,71;4;Encantados;no;sur
378;14092;1;0;53750;51,76;1;Insatisfechos;no;sur
379;11646;0;0;57716;52,75;1;Insatisfechos;no;sur
380;23358;0;0;28383;46,04;1;Insatisfechos;no;sur
381;17853;0;0;36569;51,24;1;Insatisfechos;no;sur
382;12786;3;-2;109581;54,34;4;Encantados;no;sur
383;21487;0;0;76776;50,13;1;Insatisfechos;no;sur
384;20772;2;0;137727;54,32;2;Con quejas;no;sur
385;18376;2;-2;55340;51,74;4;Encantados;no;sur
386;12046;1;0;27779;49,83;1;Insatisfechos;no;sur
387;17154;0;-2;56833;51,51;3;Felices;no;sur
388;28498;0;0;33026;49,25;1;Insatisfechos;no;sur
389;14114;1;-1;78520;50,52;1;Insatisfechos;no;sur
390;12137;1;-3;54573;47,49;3;Felices;no;sur
391;26009;1;-2;128329;61,65;4;Encantados;no;sur
392;24857;0;-2;57689;52,41;3;Felices;no;sur
393;28106;1;0;36575;46,85;1;Insatisfechos;no;sur
394;18182;0;0;32896;49,24;1;Insatisfechos;no;sur
395;20140;0;-1;81432;51,21;1;Insatisfechos;no;sur
396;20370;1;-2;34554;52,58;3;Felices;no;sur
397;12631;1;-1;54375;50,17;3;Felices;no;sur
398;11743;2;-2;111563;57,54;4;Encantados;no;sur
399;20516;1;-2;85889;52,65;4;Encantados;no;sur
400;28268;0;0;62077;50,78;1;Insatisfechos;no;sur
401;20481;2;-1;78344;59,05;4;Encantados;no;sur
402;17194;0;-2;52349;57,08;3;Felices;no;sur
403;12747;1;0;61820;50,47;1;Insatisfechos;no;sur
404;20784;3;-2;128425;62,7;4;Encantados;no;sur
405;28419;2;-2;84402;53,02;4;Encantados;no;sur
406;17301;1;0;108902;58,43;2;Con quejas;no;sur
407;18786;2;0;62372;48,62;1;Insatisfechos;no;sur
408;11666;3;0;133099;52,28;2;Con quejas;no;sur
409;25275;0;0;85962;54,34;1;Insatisfechos;no;sur
410;12095;2;-2;129522;55,38;2;Con quejas;no;sur
411;27681;1;-1;34135;47,29;3;Felices;no;sur
412;25471;0;-1;59521;55,15;1;Insatisfechos;no;sur
413;19282;1;-2;34487;48,22;3;Felices;no;sur
414;21913;1;0;54306;50,16;1;Insatisfechos;no;sur
415;15408;2;0;79606;53,6;2;Con quejas;no;sur
416;27018;1;0;77126;56,14;2;Con quejas;no;sur
417;24186;1;0;59362;51,25;1;Insatisfechos;no;sur
418;12382;1;0;34019;47,17;1;Insatisfechos;no;sur
419;24211;2;0;129567;56,05;2;Con quejas;no;sur
420;18010;2;0;60667;54,42;2;Con quejas;no;sur
421;27794;2;-2;138022;52,27;2;Con quejas;no;sur
422;12253;1;0;53629;50,52;1;Insatisfechos;no;sur
423;14287;0;0;107890;60,61;2;Con quejas;no;sur
424;20945;0;0;83477;52,7;1;Insatisfechos;no;sur
425;20449;0;0;25978;47,12;1;Insatisfechos;no;sur
426;16027;2;-2;57948;48,43;3;Felices;no;sur
427;12339;0;0;27626;46,56;1;Insatisfechos;no;sur
428;22364;0;-1;52502;48,7;1;Insatisfechos;no;sur
429;21545;0;-2;32859;45,89;3;Felices;no;sur
430;24830;0;-2;34470;47,09;3;Felices;no;sur
431;16797;0;-2;33994;45,66;3;Felices;no;sur
432;25590;2;0;56889;50,49;1;Insatisfechos;no;sur
433;14784;0;0;31101;49,86;1;Insatisfechos;no;sur
434;26642;2;-2;79698;50,87;4;Encantados;no;sur
435;28262;2;-2;110846;54,4;4;Encantados;no;sur
436;28872;1;0;57466;50,07;1;Insatisfechos;no;sur
437;27488;1;-2;57090;49,65;3;Felices;no;sur
438;23565;3;0;82037;53,06;2;Con quejas;no;sur
439;18737;2;0;52717;53,41;2;Con quejas;no;sur
440;16443;3;0;79118;54,45;2;Con quejas;no;sur
441;26350;1;-2;36501;49,32;3;Felices;no;sur
442;17786;0;0;86737;54,73;1;Insatisfechos;no;sur
443;14663;0;-2;58529;52,36;3;Felices;no;sur
444;17477;3;-1;107870;54,49;4;Encantados;no;sur
445;27255;1;-1;58953;49,24;1;Insatisfechos;no;sur
446;21474;2;-2;77607;59,43;4;Encantados;no;sur
447;25188;2;-3;59464;48,8;3;Felices;no;sur
448;16358;2;0;57786;48,42;1;Insatisfechos;no;sur
449;15137;1;-1;31877;45,99;1;Insatisfechos;no;sur
450;16471;0;-3;53308;48,79;3;Felices;no;sur
451;27252;3;0;137943;53,09;2;Con quejas;no;sur
452;29241;2;0;106718;54,84;2;Con quejas;no;sur
453;14290;1;0;61966;58,95;2;Con quejas;no;sur
454;22638;0;0;59016;51,56;1;Insatisfechos;no;sur
455;23813;2;0;57754;48,17;1;Insatisfechos;no;sur
456;27806;1;0;87499;50,38;1;Insatisfechos;no;sur
457;11358;3;0;109789;56,08;2;Con quejas;no;sur
458;24524;3;0;104035;50,96;2;Con quejas;no;sur
459;24477;2;0;78413;58,54;2;Con quejas;no;sur
460;26084;2;-2;78396;57,17;2;Con quejas;no;sur
461;21460;0;-2;54441;48,93;3;Felices;no;sur
462;26383;0;0;28711;49,9;1;Insatisfechos;no;sur
463;17694;3;0;129067;56,02;2;Con quejas;no;sur
464;20972;1;-2;105772;55,16;4;Encantados;no;sur
465;28476;1;-1;83057;53,46;2;Con quejas;no;sur
466;25464;1;-2;56598;49,14;3;Felices;no;sur
467;19325;1;-2;33503;48,4;3;Felices;no;sur
468;16937;2;0;135358;54,12;2;Con quejas;no;sur
469;21272;2;0;110952;54,93;2;Con quejas;no;sur
470;24367;3;0;136281;52,04;2;Con quejas;no;sur
