;CustomerID;NumberCarsOwned;NumberChildrenAtHome;TotalChildren;YearlyIncome;AvgMonthSpend;cluster;desc
91;25162;3;0;0;111980;59.52;2;Con quejas
92;26829;0;1;1;54675;52.61;3;Felices
93;11345;3;0;0;106648;53.81;2;Con quejas
94;22539;1;0;0;58037;52.65;1;Insatisfechos
95;26226;2;0;1;106062;51.69;2;Con quejas
96;22654;1;0;0;28008;56.39;1;Insatisfechos
97;20389;2;0;3;86828;50.62;3;Felices
98;27716;2;0;0;61109;57.61;2;Con quejas
99;23670;1;1;2;35142;47.02;3;Felices
100;28410;2;0;0;59673;48.54;1;Insatisfechos
101;21755;3;1;2;133272;56.63;4;Encantados
102;12254;3;0;1;81957;50.09;2;Con quejas
103;17082;1;0;0;103314;52.78;2;Con quejas
104;25122;2;0;0;103546;51.61;2;Con quejas
105;25619;0;1;1;58317;48.05;3;Felices
106;24940;2;0;2;55825;48.53;3;Felices
107;13117;1;0;0;36367;48.33;1;Insatisfechos
108;12460;2;0;0;107852;54.89;2;Con quejas
109;13619;0;0;0;105888;51.31;1;Insatisfechos
110;23455;1;0;0;31956;50.51;1;Insatisfechos
111;20986;0;0;0;83026;50.25;1;Insatisfechos
112;26141;2;0;0;110808;56.85;2;Con quejas
113;19074;1;2;2;51566;50.94;4;Encantados
114;23214;3;1;2;132962;54.67;4;Encantados
115;11313;2;0;0;135064;55.61;2;Con quejas
116;26113;2;0;0;135997;54.2;2;Con quejas
117;15865;1;0;0;57770;49.68;1;Insatisfechos
118;25060;1;0;0;113290;54.55;2;Con quejas
119;17902;1;1;2;81214;54.11;4;Encantados
120;27898;2;0;2;80624;49.58;3;Felices
121;19921;2;0;1;106908;53.03;2;Con quejas
122;21186;1;0;0;51796;56.24;1;Insatisfechos
123;19129;2;1;2;80764;52.27;4;Encantados
124;25626;0;0;1;35297;47.28;1;Insatisfechos
125;15009;1;0;0;78604;51.54;1;Insatisfechos
126;22070;3;0;0;102869;57.71;2;Con quejas
127;13303;1;1;2;62293;54.24;4;Encantados
128;27822;1;0;0;34607;48.11;1;Insatisfechos
129;14908;2;1;2;53042;50.06;3;Felices
130;27981;1;0;0;106195;55.41;2;Con quejas
131;15995;2;0;2;106360;51.7;2;Con quejas
132;23808;2;1;1;110288;54.03;4;Encantados
133;18679;1;0;0;112590;52.71;2;Con quejas
134;23721;0;1;2;30844;52.73;3;Felices
135;21351;2;0;3;109611;51;4;Encantados
136;17867;2;0;0;111685;52.96;2;Con quejas
137;16907;0;1;1;30259;49.14;3;Felices
138;20288;2;0;0;82339;52.62;2;Con quejas
139;22874;1;0;0;87633;61.12;2;Con quejas
140;20681;1;0;0;80782;51.66;1;Insatisfechos
141;15370;1;0;2;57125;48.74;3;Felices
142;22593;2;0;0;56092;50.33;1;Insatisfechos
143;11884;2;0;0;131943;52.71;2;Con quejas
144;25021;2;0;2;52627;50.78;3;Felices
145;15982;1;0;2;26331;53.52;3;Felices
146;19088;1;0;0;27908;48.73;1;Insatisfechos
147;19331;1;0;0;56751;60.78;2;Con quejas
148;16587;1;1;2;32619;57.06;4;Encantados
149;11260;3;0;0;105983;51.26;2;Con quejas
150;18687;1;1;2;128877;52.95;4;Encantados
151;25906;2;1;1;55000;49.93;3;Felices
152;22969;1;0;0;50910;48.8;1;Insatisfechos
153;29397;2;1;1;57493;52.42;4;Encantados
154;25702;0;1;1;82095;53.16;3;Felices
155;12346;2;0;0;136001;56.7;2;Con quejas
156;18272;3;0;0;104443;51.04;2;Con quejas
157;25159;1;0;0;59013;49.99;1;Insatisfechos
158;25368;1;0;0;54240;56.33;1;Insatisfechos
159;13369;3;0;2;103150;50.8;2;Con quejas
160;18059;3;1;2;108823;53.12;4;Encantados
161;12522;2;0;0;77300;53.95;2;Con quejas
162;16375;2;0;1;82308;49.8;2;Con quejas
163;17683;1;0;0;129719;56.22;2;Con quejas
164;14990;0;0;0;36588;46.38;1;Insatisfechos
165;29201;3;0;0;81053;50.38;2;Con quejas
166;15111;0;2;2;35160;48.62;3;Felices
167;25772;1;0;0;57655;57.32;2;Con quejas
168;12178;2;1;1;61513;57.36;4;Encantados
169;14083;0;0;0;57933;48.84;1;Insatisfechos
170;14281;2;0;0;104429;54.84;2;Con quejas
171;19895;0;0;2;32494;52.5;3;Felices
172;11137;2;0;0;51293;48.28;1;Insatisfechos
173;19042;3;1;2;78805;49.99;4;Encantados
174;14690;1;0;0;33244;48.21;1;Insatisfechos
175;20331;1;1;1;30115;59.27;4;Encantados
176;16928;1;1;1;55404;50.3;3;Felices
177;12013;0;0;0;34165;47.46;1;Insatisfechos
178;17530;2;1;2;57132;53.79;4;Encantados
179;27131;2;0;0;132560;52.2;2;Con quejas
180;26110;1;1;2;53062;54.72;4;Encantados
181;13343;0;1;2;79950;52.93;3;Felices
182;29138;2;0;1;83167;57.56;2;Con quejas
183;22522;0;0;0;77729;51.78;1;Insatisfechos
184;18161;1;1;1;54058;48.36;3;Felices
185;27571;1;0;2;87071;50.5;3;Felices
186;16500;0;0;0;26818;47.15;1;Insatisfechos
187;14881;0;0;2;52630;49.83;3;Felices
188;26384;2;0;2;83410;54.85;2;Con quejas
189;26162;2;1;2;83299;51.33;4;Encantados
190;27398;1;1;1;54201;50.72;3;Felices
191;13710;2;0;0;133136;53.04;2;Con quejas
192;21252;2;0;0;60371;51.53;1;Insatisfechos
193;14911;1;1;2;55220;48.65;3;Felices
194;22102;1;0;2;85098;53.81;3;Felices
195;28082;2;0;0;129013;54.8;2;Con quejas
196;29044;2;0;0;106013;55.82;2;Con quejas
197;26800;2;0;0;77922;51.39;2;Con quejas
198;16392;3;0;0;104734;51.2;2;Con quejas
199;11961;2;0;0;83202;53.98;2;Con quejas
200;25001;1;1;2;61391;50.08;3;Felices
201;21494;0;0;0;82687;52.24;1;Insatisfechos
202;21128;1;0;0;83361;50.99;1;Insatisfechos
203;15720;2;0;0;57161;47.93;1;Insatisfechos
204;15048;3;1;2;109320;54.16;4;Encantados
205;26631;1;1;2;27866;58.64;4;Encantados
206;20082;1;0;0;53889;49.64;1;Insatisfechos
207;22147;0;0;2;53916;48.5;3;Felices
208;16522;1;0;0;56880;48.52;1;Insatisfechos
209;22201;3;1;2;85533;53.51;4;Encantados
210;25972;1;0;0;109072;51.35;2;Con quejas
211;17885;4;0;2;110148;52.17;2;Con quejas
212;13419;2;1;2;103959;55.47;4;Encantados
213;15827;1;0;0;54230;49.34;1;Insatisfechos
214;26644;2;0;0;133903;54.91;2;Con quejas
215;20335;1;0;0;79311;57.12;2;Con quejas
216;28170;2;0;2;84084;49.84;3;Felices
217;26306;2;0;0;54821;51.55;1;Insatisfechos
218;14739;2;1;2;77748;56.89;4;Encantados
219;19748;0;2;2;27122;46.82;3;Felices
220;14969;0;0;0;62520;50.43;1;Insatisfechos
221;22061;1;0;0;55096;48.2;1;Insatisfechos
222;21464;2;1;2;83229;54.53;4;Encantados
223;23570;0;0;3;60347;48.28;3;Felices
224;11259;0;1;1;27006;47.03;3;Felices
225;23631;0;0;0;56071;53.02;1;Insatisfechos
226;17165;0;0;0;51705;48.04;1;Insatisfechos
227;28860;0;1;2;87993;61.69;4;Encantados
228;21309;2;0;2;81913;50.37;3;Felices
229;18266;0;0;0;55838;51.84;1;Insatisfechos
230;26936;1;0;0;32924;48.47;1;Insatisfechos
231;19540;2;2;2;136633;52.44;4;Encantados
232;23475;1;0;3;28954;45.77;3;Felices
233;15557;1;0;1;78271;54.57;2;Con quejas
234;28144;0;0;0;54082;52.55;1;Insatisfechos
235;25222;2;0;0;102019;51.15;2;Con quejas
236;24481;1;0;2;58336;55.31;3;Felices
237;26137;2;0;0;106235;50.93;2;Con quejas
238;28577;1;0;2;132506;55.78;2;Con quejas
239;22223;0;2;2;61547;52.04;3;Felices
240;16903;2;1;1;134871;54.78;4;Encantados
241;12277;1;0;0;51970;48.52;1;Insatisfechos
242;23849;3;0;0;129017;52.94;2;Con quejas
243;27965;1;0;0;51980;49.82;1;Insatisfechos
244;18258;1;0;0;107530;53.85;2;Con quejas
245;15469;1;0;1;80444;49.84;1;Insatisfechos
246;24412;2;0;0;105715;52.54;2;Con quejas
247;29260;0;0;1;77151;53.76;1;Insatisfechos
248;19547;1;0;2;81669;50.68;3;Felices
249;28680;2;0;0;81432;53.33;2;Con quejas
250;21877;0;0;0;34298;49.64;1;Insatisfechos
251;20141;1;0;2;107934;50.55;3;Felices
252;27061;2;0;0;109457;55.18;2;Con quejas
253;23147;1;1;1;54266;48.71;3;Felices
254;14169;0;0;0;26150;45.07;1;Insatisfechos
255;19142;3;1;2;112302;65.29;4;Encantados
256;20199;3;1;1;81542;52.28;4;Encantados
257;12114;2;1;2;51854;48.96;3;Felices
258;26343;0;0;0;54153;49.83;1;Insatisfechos
259;28322;1;0;0;105736;60.95;2;Con quejas
260;19498;2;0;0;54626;49.02;1;Insatisfechos
261;14131;2;0;0;83144;49.95;2;Con quejas
262;15157;2;2;2;135029;52.19;4;Encantados
263;11199;0;0;2;52476;48.37;3;Felices
264;28902;0;0;0;84807;51.68;1;Insatisfechos
265;12016;0;0;0;36634;47.45;1;Insatisfechos
266;16065;3;0;0;84866;52.34;2;Con quejas
267;27085;1;1;2;79867;51.3;3;Felices
268;12707;0;0;2;51783;48.34;3;Felices
269;15046;1;1;2;55768;49.91;3;Felices
270;21710;2;1;2;80690;53.74;4;Encantados
271;24292;0;0;0;30247;46.58;1;Insatisfechos
272;28225;2;0;2;83705;54.01;2;Con quejas
273;19101;2;0;0;106597;50.76;2;Con quejas
274;24775;0;1;2;60958;48.95;3;Felices
275;17608;2;0;0;111130;63.85;2;Con quejas
276;25440;0;0;1;53604;48.03;1;Insatisfechos
277;24290;1;0;0;57269;48.55;1;Insatisfechos
278;18599;2;0;0;61287;51.94;2;Con quejas
279;23548;1;0;0;77098;49.88;1;Insatisfechos
280;14271;2;0;0;52607;47.88;1;Insatisfechos
281;16221;2;0;2;130743;56.86;2;Con quejas
282;20366;0;1;2;59358;50.77;3;Felices
283;28583;0;1;1;54025;58.93;4;Encantados
284;24977;2;1;2;79556;52.52;4;Encantados
285;22988;1;0;2;128521;52.14;2;Con quejas
286;21042;1;1;2;51642;60.33;4;Encantados
287;22825;2;0;0;52484;48.06;1;Insatisfechos
288;29385;0;0;0;30051;54.72;1;Insatisfechos
289;26269;1;1;1;25495;46.72;3;Felices
290;18335;2;1;2;136250;52.89;4;Encantados
291;19525;0;0;0;51351;50.49;1;Insatisfechos
292;22072;2;0;0;134516;54.09;2;Con quejas
293;17240;2;0;0;58340;47.92;1;Insatisfechos
294;29014;3;1;2;78194;51.27;4;Encantados
295;11814;0;1;2;27849;44.95;3;Felices
296;25304;0;0;0;31315;45.82;1;Insatisfechos
297;28364;2;2;2;133103;55.68;4;Encantados
298;15070;1;0;0;85953;53.66;2;Con quejas
299;21073;0;0;0;78356;53.89;1;Insatisfechos
300;19136;2;0;0;132022;59.88;2;Con quejas
301;21074;2;0;0;103281;52.11;2;Con quejas
302;27164;0;0;0;36326;47.59;1;Insatisfechos
303;17610;2;0;0;80632;51.45;2;Con quejas
304;29291;1;0;1;54443;48.16;1;Insatisfechos
305;27808;1;1;2;53720;51.27;3;Felices
306;13715;2;2;2;138094;57.58;4;Encantados
307;23204;2;0;0;81168;53.38;2;Con quejas
308;19846;0;0;2;110907;51.67;3;Felices
309;18077;2;0;2;55051;48.71;3;Felices
310;14192;1;1;2;60460;50.25;3;Felices
311;12436;1;0;2;113065;56.2;2;Con quejas
312;12751;2;0;0;78659;51.01;2;Con quejas
313;26370;0;1;2;60825;49.8;3;Felices
314;17751;0;0;0;51307;54.85;1;Insatisfechos
315;21357;2;1;1;135850;53.04;4;Encantados
316;26851;1;0;0;56139;50.17;1;Insatisfechos
317;19939;1;0;2;106292;54.08;2;Con quejas
318;17590;0;1;2;86492;53.3;3;Felices
319;22922;2;0;0;78270;49.89;2;Con quejas
320;16231;2;1;2;76306;51.6;4;Encantados
321;20954;0;0;0;26611;49.1;1;Insatisfechos
322;27727;1;0;0;53598;50;1;Insatisfechos
323;24268;1;1;2;55540;48.25;3;Felices
324;12908;2;0;0;138508;52.1;2;Con quejas
325;24938;0;0;3;103553;50.42;3;Felices
326;20842;2;0;0;106124;61.62;2;Con quejas
327;13827;3;0;0;87137;50.42;2;Con quejas
328;26825;0;0;1;53321;56.64;1;Insatisfechos
329;22442;2;0;0;106613;51.41;2;Con quejas
330;23344;0;0;0;53096;47.62;1;Insatisfechos
331;28227;1;0;0;60793;52.1;1;Insatisfechos
332;16411;1;0;0;30763;59.24;1;Insatisfechos
333;12925;0;0;2;135185;52.68;2;Con quejas
334;28605;1;0;0;57677;59.09;2;Con quejas
335;16051;1;1;2;78065;59.07;4;Encantados
336;15535;2;1;2;82159;55.33;4;Encantados
337;14684;3;1;2;104925;60.88;4;Encantados
338;24098;2;0;0;53762;50.67;1;Insatisfechos
339;15718;0;0;0;85651;50.85;1;Insatisfechos
340;17774;1;1;1;78680;50.72;3;Felices
341;17709;2;0;2;138681;53.75;2;Con quejas
342;27781;0;0;0;86677;53.75;1;Insatisfechos
343;15057;0;0;0;84713;50.43;1;Insatisfechos
344;27418;3;0;0;102387;51.8;2;Con quejas
345;13647;0;0;0;26017;47.35;1;Insatisfechos
346;13807;2;0;0;78140;56.06;2;Con quejas
347;22804;2;0;2;57071;49.02;3;Felices
348;22117;1;0;1;36338;47;1;Insatisfechos
349;26032;2;0;1;55936;48.44;1;Insatisfechos
350;18593;2;0;0;59776;49.16;1;Insatisfechos
351;25858;1;0;1;53200;50.59;1;Insatisfechos
352;26154;0;2;2;33934;50.69;3;Felices
353;28521;0;0;0;58601;49.56;1;Insatisfechos
354;27768;3;0;0;78945;51.41;2;Con quejas
355;26883;0;0;0;32044;48.07;1;Insatisfechos
356;16325;2;1;1;112047;53.7;4;Encantados
357;26991;0;0;1;79952;49.27;1;Insatisfechos
358;20805;1;0;2;35702;52.27;3;Felices
359;27333;0;1;2;57286;48.22;3;Felices
360;13902;0;0;1;57036;49.26;1;Insatisfechos
361;21475;2;1;1;82552;52.33;4;Encantados
362;15883;1;1;2;130517;55.81;4;Encantados
363;25781;0;0;1;32990;48.65;1;Insatisfechos
364;25045;1;0;0;35976;46.76;1;Insatisfechos
365;15594;0;0;0;80570;52.34;1;Insatisfechos
366;13306;1;0;2;58899;48.79;3;Felices
367;13666;0;0;0;61956;52.08;1;Insatisfechos
368;28613;1;0;2;27870;46.65;3;Felices
369;14676;2;0;0;51704;52.13;1;Insatisfechos
370;28427;0;0;0;105891;54.67;2;Con quejas
371;15213;3;0;2;82216;49.39;2;Con quejas
372;18588;1;0;0;58372;48.93;1;Insatisfechos
373;18841;1;1;2;56626;52.89;3;Felices
374;13288;2;0;1;53367;55.4;2;Con quejas
375;22022;0;0;0;28750;45.95;1;Insatisfechos
376;13197;2;0;2;59994;49.44;3;Felices
377;14174;2;1;2;54516;51.71;4;Encantados
378;14092;1;0;0;53750;51.76;1;Insatisfechos
379;11646;0;0;0;57716;52.75;1;Insatisfechos
380;23358;0;0;0;28383;46.04;1;Insatisfechos
381;17853;0;0;0;36569;51.24;1;Insatisfechos
382;12786;3;2;2;109581;54.34;4;Encantados
383;21487;0;0;0;76776;50.13;1;Insatisfechos
384;20772;2;0;0;137727;54.32;2;Con quejas
385;18376;2;1;2;55340;51.74;4;Encantados
386;12046;1;0;0;27779;49.83;1;Insatisfechos
387;17154;0;0;2;56833;51.51;3;Felices
388;28498;0;0;0;33026;49.25;1;Insatisfechos
389;14114;1;0;1;78520;50.52;1;Insatisfechos
390;12137;1;0;3;54573;47.49;3;Felices
391;26009;1;1;2;128329;61.65;4;Encantados
392;24857;0;1;2;57689;52.41;3;Felices
393;28106;1;0;0;36575;46.85;1;Insatisfechos
394;18182;0;0;0;32896;49.24;1;Insatisfechos
395;20140;0;0;1;81432;51.21;1;Insatisfechos
396;20370;1;1;2;34554;52.58;3;Felices
397;12631;1;1;1;54375;50.17;3;Felices
398;11743;2;2;2;111563;57.54;4;Encantados
399;20516;1;1;2;85889;52.65;4;Encantados
400;28268;0;0;0;62077;50.78;1;Insatisfechos
401;20481;2;1;1;78344;59.05;4;Encantados
402;17194;0;1;2;52349;57.08;3;Felices
403;12747;1;0;0;61820;50.47;1;Insatisfechos
404;20784;3;1;2;128425;62.7;4;Encantados
405;28419;2;2;2;84402;53.02;4;Encantados
406;17301;1;0;0;108902;58.43;2;Con quejas
407;18786;2;0;0;62372;48.62;1;Insatisfechos
408;11666;3;0;0;133099;52.28;2;Con quejas
409;25275;0;0;0;85962;54.34;1;Insatisfechos
410;12095;2;0;2;129522;55.38;2;Con quejas
411;27681;1;1;1;34135;47.29;3;Felices
412;25471;0;0;1;59521;55.15;1;Insatisfechos
413;19282;1;1;2;34487;48.22;3;Felices
414;21913;1;0;0;54306;50.16;1;Insatisfechos
415;15408;2;0;0;79606;53.6;2;Con quejas
416;27018;1;0;0;77126;56.14;2;Con quejas
417;24186;1;0;0;59362;51.25;1;Insatisfechos
418;12382;1;0;0;34019;47.17;1;Insatisfechos
419;24211;2;0;0;129567;56.05;2;Con quejas
420;18010;2;0;0;60667;54.42;2;Con quejas
421;27794;2;0;2;138022;52.27;2;Con quejas
422;12253;1;0;0;53629;50.52;1;Insatisfechos
423;14287;0;0;0;107890;60.61;2;Con quejas
424;20945;0;0;0;83477;52.7;1;Insatisfechos
425;20449;0;0;0;25978;47.12;1;Insatisfechos
426;16027;2;0;2;57948;48.43;3;Felices
427;12339;0;0;0;27626;46.56;1;Insatisfechos
428;22364;0;0;1;52502;48.7;1;Insatisfechos
429;21545;0;0;2;32859;45.89;3;Felices
430;24830;0;0;2;34470;47.09;3;Felices
431;16797;0;0;2;33994;45.66;3;Felices
432;25590;2;0;0;56889;50.49;1;Insatisfechos
433;14784;0;0;0;31101;49.86;1;Insatisfechos
434;26642;2;1;2;79698;50.87;4;Encantados
435;28262;2;1;2;110846;54.4;4;Encantados
436;28872;1;0;0;57466;50.07;1;Insatisfechos
437;27488;1;1;2;57090;49.65;3;Felices
438;23565;3;0;0;82037;53.06;2;Con quejas
439;18737;2;0;0;52717;53.41;2;Con quejas
440;16443;3;0;0;79118;54.45;2;Con quejas
441;26350;1;2;2;36501;49.32;3;Felices
442;17786;0;0;0;86737;54.73;1;Insatisfechos
443;14663;0;1;2;58529;52.36;3;Felices
444;17477;3;1;1;107870;54.49;4;Encantados
445;27255;1;0;1;58953;49.24;1;Insatisfechos
446;21474;2;1;2;77607;59.43;4;Encantados
447;25188;2;0;3;59464;48.8;3;Felices
448;16358;2;0;0;57786;48.42;1;Insatisfechos
449;15137;1;0;1;31877;45.99;1;Insatisfechos
450;16471;0;0;3;53308;48.79;3;Felices
451;27252;3;0;0;137943;53.09;2;Con quejas
452;29241;2;0;0;106718;54.84;2;Con quejas
453;14290;1;0;0;61966;58.95;2;Con quejas
454;22638;0;0;0;59016;51.56;1;Insatisfechos
455;23813;2;0;0;57754;48.17;1;Insatisfechos
456;27806;1;0;0;87499;50.38;1;Insatisfechos
457;11358;3;0;0;109789;56.08;2;Con quejas
458;24524;3;0;0;104035;50.96;2;Con quejas
459;24477;2;0;0;78413;58.54;2;Con quejas
460;26084;2;0;2;78396;57.17;2;Con quejas
461;21460;0;0;2;54441;48.93;3;Felices
462;26383;0;0;0;28711;49.9;1;Insatisfechos
463;17694;3;0;0;129067;56.02;2;Con quejas
464;20972;1;1;2;105772;55.16;4;Encantados
465;28476;1;0;1;83057;53.46;2;Con quejas
466;25464;1;1;2;56598;49.14;3;Felices
467;19325;1;1;2;33503;48.4;3;Felices
468;16937;2;0;0;135358;54.12;2;Con quejas
469;21272;2;0;0;110952;54.93;2;Con quejas
470;24367;3;0;0;136281;52.04;2;Con quejas
471;11296;0;0;1;134033;55.46;2;Con quejas
472;21341;1;1;2;129502;55.27;4;Encantados
473;24698;0;0;0;58387;49.15;1;Insatisfechos
474;17001;3;0;0;102948;51.16;2;Con quejas
475;22930;2;0;0;131323;51.91;2;Con quejas
476;13309;2;0;2;77470;50.18;3;Felices
477;24776;2;0;0;129777;52.31;2;Con quejas
478;15401;1;0;0;33196;48.73;1;Insatisfechos
479;21741;2;1;2;110863;55.6;4;Encantados
480;26672;2;1;2;130832;52.82;4;Encantados
481;15600;1;1;2;30556;49.53;3;Felices
482;25137;3;0;0;108692;51.87;2;Con quejas
483;27996;2;2;2;54780;47.84;4;Encantados
484;28472;1;0;3;57568;48.27;3;Felices
485;18395;1;1;2;53935;55.7;4;Encantados
486;11534;2;0;0;130831;58.54;2;Con quejas
487;11851;0;0;0;83616;49.82;1;Insatisfechos
488;27684;3;2;2;86932;51.3;4;Encantados
489;21415;1;0;0;58625;49.4;1;Insatisfechos
490;23444;0;0;0;61912;53.54;1;Insatisfechos
491;25180;1;0;0;56625;50.28;1;Insatisfechos
492;15954;2;0;2;61679;56.42;2;Con quejas
493;20881;0;0;0;31747;45.5;1;Insatisfechos
494;13253;0;0;2;57426;48.98;3;Felices
495;16278;1;1;2;80987;52.32;4;Encantados
496;11780;0;0;0;129957;56.52;2;Con quejas
497;14246;2;0;1;77879;50.3;2;Con quejas
498;15369;2;1;2;57127;51.07;3;Felices
499;18985;1;1;2;137656;53.96;4;Encantados
500;17298;1;0;0;60980;51.34;1;Insatisfechos
501;26822;0;0;0;77129;50.78;1;Insatisfechos
502;20341;1;0;2;28823;53.19;3;Felices
503;19272;1;1;2;61604;51.95;3;Felices
504;21479;3;1;2;128522;63.76;4;Encantados
505;29308;2;0;0;81712;62.06;2;Con quejas
506;15417;1;0;1;61014;48.48;1;Insatisfechos
507;24433;1;1;1;54006;52.3;3;Felices
508;13642;2;1;2;55564;51.25;3;Felices
509;12983;0;1;2;61859;50.51;3;Felices
510;24919;1;1;1;54863;49.85;3;Felices
511;21409;1;0;2;86170;57.81;2;Con quejas
512;11336;2;0;2;137384;59.3;2;Con quejas
513;16406;1;1;1;84889;51.96;4;Encantados
514;16218;0;1;2;57287;49.56;3;Felices
515;15278;1;0;0;84251;51.3;1;Insatisfechos
516;12511;2;0;0;62358;51.02;1;Insatisfechos
517;18311;2;0;0;76478;50.38;2;Con quejas
518;19043;2;3;3;107557;53.97;4;Encantados
519;17947;2;0;0;58563;51.12;1;Insatisfechos
520;21204;0;0;0;54102;50.26;1;Insatisfechos
521;11480;0;0;0;51078;47.6;1;Insatisfechos
522;29424;1;0;0;34597;46.38;1;Insatisfechos
523;11619;3;0;0;108617;52.64;2;Con quejas
524;27633;0;0;2;33567;48.82;3;Felices
525;24305;1;0;0;52678;59.35;2;Con quejas
526;22680;2;0;0;112763;57.19;2;Con quejas
527;18056;0;0;0;77225;53.05;1;Insatisfechos
528;27272;0;1;2;33801;49.81;3;Felices
529;24078;2;2;2;106603;63.16;4;Encantados
530;13996;1;2;2;55675;48.79;3;Felices
531;24693;1;0;0;56549;51.02;1;Insatisfechos
532;16044;3;1;2;132332;56.95;4;Encantados
533;21931;2;1;2;53591;53.92;4;Encantados
