id_oportunidad,id_estudiante,programa,etapa,fecha_afluencia,fecha_ganado,fecha_perdido,consultor,edad,estado_civil,ciudad,provincia,trabaja,colegio,tipo_admision,origen,enteraste
0068W00000RtTt0,-769333710032272212,1P254,Cerrada Perdida,2022-01-20 00:00:00,,2022-01-26 00:00:00,13,18.0,Soltero/a,QUITO,PICHINCHA,No,1605,Normal,Llamada,Redes sociales
0068W00000RukUZ,-2057901967703317266,1P724,Cerrada Ganada,2022-02-02 00:00:00,2022-02-22 00:00:00,,34,20.0,Soltero/a,QUITO,PICHINCHA,No,40,Normal,,Portales web
0061U00000NB075,3661279467295609744,1P634,Cerrada Perdida,2021-07-22 00:00:00,,2021-08-31 00:00:00,34,30.0,Soltero/a,MACHALA,EL ORO,No,1290,Convalidado,Formulario web,Portales web
0061U00000NB7Ew,-1793230974021469255,1P614,Cerrada Perdida,2021-07-23 00:00:00,,2021-08-03 00:00:00,22,18.0,Soltero/a,QUITO,PICHINCHA,No,1694,Normal,Colegios,Aplicaciones
0061U00000Mm1Mu,-7749280042398621696,2P567,Cerrada Perdida,2021-06-10 00:00:00,,2021-08-03 00:00:00,8,18.0,Soltero/a,QUITO,PICHINCHA,No,350,Normal,Chat en línea,Aplicaciones
0061U00000NAiXB,-1899591893208194438,1P734,Cerrada Perdida,2021-07-19 00:00:00,,2021-08-31 00:00:00,20,20.0,Soltero/a,QUITO,PICHINCHA,No,741,Normal,Google Natural Search,Recomendado
0061U00000O6D65,5247298629409382967,1P791,Cerrada Ganada,2021-09-21 00:00:00,2021-09-24 00:00:00,,13,18.0,Soltero/a,QUITO,PICHINCHA,No,1093,Normal,Colegios,Recomendado
0061U00000OmxB1,-3967761113621895540,1P564,Cerrada Perdida,2021-11-08 00:00:00,,2021-11-16 00:00:00,22,18.0,,QUITO,PICHINCHA,,995,Normal,Whatsapp,
0061U00000O6MaE,5805068518946258473,1H594,Cerrada Perdida,2021-09-22 00:00:00,,2021-10-11 00:00:00,7,19.0,Soltero/a,GUAYAQUIL,GUAYAS,No,1857,Normal,Llamada,Portales web
0061U00000O5RXS,-1851890317904796541,1P791,Cerrada Perdida,2021-09-14 00:00:00,,2021-09-23 00:00:00,32,18.0,Soltero/a,QUITO,PICHINCHA,No,1602,Normal,Colegios,Aplicaciones
0068W00000RtVWS,-7187904488485723099,1P354,Inscrito,2022-01-20 00:00:00,,,34,18.0,Soltero/a,QUITO,PICHINCHA,No,1680,Normal,Formulario web,Mi colegio
0068W00000RudpL,8623289116373670896,1P634,Test,2022-02-01 00:00:00,,,18,19.0,Soltero/a,TENA,NAPO,No,1404,Normal,Facebook,Redes sociales
0061U00000NjITF,3661279467295609744,1P634,Cerrada Perdida,2021-09-02 00:00:00,,2021-09-27 00:00:00,34,30.0,Soltero/a,MACHALA,EL ORO,No,1290,Convalidado,Formulario web,Portales web
0061U00000NB7MM,-4900601540891408594,1P734,Cerrada Perdida,2021-07-23 00:00:00,,2021-08-27 00:00:00,36,24.0,Soltero/a,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS,No,671,Convalidado,Simulador Homologación,Recomendado
0061U00000NARwR,8149476794635937247,1P594,Cerrada Perdida,2021-07-15 00:00:00,,2021-08-03 00:00:00,22,18.0,Soltero/a,QUITO,PICHINCHA,No,47,Normal,Datos de período anterior,Aplicaciones
0061U00000NAiXG,-4720367129028417400,1P704,Cerrada Perdida,2021-07-19 00:00:00,,2021-08-04 00:00:00,13,19.0,Soltero/a,LOJA,LOJA,No,1552,Normal,Colegios,Mi colegio
0061U00000NAo8s,5106820886636259208,1P704,Cerrada Perdida,2021-07-20 00:00:00,,2021-07-20 00:00:00,38,20.0,Soltero/a,LA MANÁ,COTOPAXI,No,1354,Normal,Llamada,Aplicaciones
0061U00000On47j,4871124225814272382,1H594,Cerrada Perdida,2021-11-09 00:00:00,,2022-02-17 00:00:00,2,22.0,Soltero/a,QUEVEDO,LOS RIOS,Si,1197,Convalidado,Llamada,Recomendado
0061U00000O4ltv,5805068518946258473,1P594,Cerrada Perdida,2021-09-08 00:00:00,,2021-09-22 00:00:00,7,19.0,Soltero/a,GUAYAQUIL,GUAYAS,No,1857,Normal,Llamada,Portales web
0061U00000O5RZn,1184757010976433245,2S238,Cerrada Perdida,2021-09-14 00:00:00,,2021-10-19 00:00:00,34,59.0,Casado/a,DAULE,GUAYAS,Si,1329,Normal,Facebook,Redes sociales
0068W00000RtSuG,-8165384710457726330,1P714,Afluente,2022-01-20 00:00:00,,,8,22.0,,QUITO,PICHINCHA,,1073,Normal,Facebook,
0068W00000RuIBf,1637450699884221489,1P484,Afluente,2022-01-28 00:00:00,,,35,17.0,Soltero/a,LOJA,LOJA,No,1251,Normal,Formulario web,Aplicaciones
0061U00000NB0Ai,2989981771474786757,1P634,Cerrada Ganada,2021-07-22 00:00:00,2021-09-23 08:00:00,2021-10-27 00:00:00,23,56.0,Soltero/a,QUITO,PICHINCHA,Si,1241,Normal,Google Natural Search,Recomendado
0061U00000NB7Om,-2684846500570992368,1P724,Cerrada Perdida,2021-07-23 00:00:00,,2021-09-01 00:00:00,22,34.0,Soltero/a,QUITO,PICHINCHA,No,799,Normal,Google Natural Search,Aplicaciones
0061U00000Mm1PA,8149476794635937247,1P594,Cerrada Perdida,2021-06-10 00:00:00,,2021-07-15 00:00:00,22,18.0,Soltero/a,QUITO,PICHINCHA,No,47,Normal,Datos de período anterior,Aplicaciones
0061U00000NAiZR,-323713099934931489,1P714,Cerrada Perdida,2021-07-19 00:00:00,,2021-07-19 00:00:00,22,18.0,Soltero/a,MORONA,MORONA SANTIAGO,No,1398,Normal,Colegios,Aplicaciones
0061U00000NAoB3,5106820886636259208,1P704,Cerrada Perdida,2021-07-20 00:00:00,,2021-08-17 00:00:00,38,20.0,Soltero/a,LA MANÁ,COTOPAXI,No,1354,Convalidado,Llamada,Aplicaciones
0061U00000Omx4u,4871124225814272382,1H594,Cerrada Perdida,2021-11-08 00:00:00,,2021-11-09 00:00:00,2,22.0,Soltero/a,QUEVEDO,LOS RIOS,Si,1197,Normal,Llamada,Recomendado
0061U00000O4m37,-5549824217727482201,1P564,Cerrada Perdida,2021-09-08 00:00:00,,2021-09-08 00:00:00,33,18.0,Soltero/a,QUITO,PICHINCHA,No,454,Normal,,Recomendado
0061U00000O5Ral,-4398878989520935889,1P564,Cerrada Perdida,2021-09-14 00:00:00,,2021-12-14 00:00:00,19,18.0,Soltero/a,QUITO,PICHINCHA,No,1876,Normal,Colegios,Redes sociales
0068W00000RtTle,8248340312070147999,1P714,Test,2022-01-20 00:00:00,,,36,23.0,Soltero/a,MEJIA,PICHINCHA,No,797,Convalidado,Simulador Homologación,Portales web
0068W00000RuI9o,1637450699884221489,1P484,Cerrada Perdida,2022-01-28 00:00:00,,2022-01-28 00:00:00,35,17.0,Soltero/a,LOJA,LOJA,No,1251,Normal,Formulario web,Aplicaciones
0061U00000O7ySA,-5984260079396027690,1P714,Cerrada Perdida,2021-10-12 00:00:00,,2021-11-08 00:00:00,36,30.0,Soltero/a,QUITO,PICHINCHA,No,978,Normal,Llamada,Recomendado
0061U00000NB7NF,5631698153184007653,1P714,Cerrada Perdida,2021-07-23 00:00:00,,2021-08-18 00:00:00,23,28.0,Soltero/a,AMBATO,TUNGURAHUA,No,1938,Normal,Llamada,Recomendado
0061U00000Mm1S9,3076526453167205097,1P791,Cerrada Ganada,2021-06-10 00:00:00,2021-07-27 08:00:00,2021-10-01 00:00:00,13,18.0,Soltero/a,QUITO,PICHINCHA,No,603,Normal,Llamada,Prensa
0061U00000NAiay,7623486927186317118,1H003,Cerrada Perdida,2021-07-19 00:00:00,,2021-08-27 00:00:00,36,36.0,Soltero/a,QUITO,PICHINCHA,No,523,Convalidado,Simulador Homologación,Recomendado
0061U00000NAoGr,146781011872848391,1P374,Cerrada Perdida,2021-07-20 00:00:00,,2021-09-02 00:00:00,35,18.0,Soltero/a,QUITO,PICHINCHA,No,540,Normal,Colegios,Aplicaciones
0061U00000OmxOI,-758080813388208920,1P624,Cerrada Perdida,2021-11-08 00:00:00,,2022-01-25 00:00:00,32,18.0,Soltero/a,QUITO,PICHINCHA,No,364,Normal,Colegios,Aplicaciones
0061U00000O4mCF,-5549824217727482201,2P567,Cerrada Perdida,2021-09-08 00:00:00,,2021-09-23 00:00:00,33,18.0,Soltero/a,QUITO,PICHINCHA,No,454,Normal,,Recomendado
0061U00000O76Hi,7459751324860700616,1P404,Cerrada Perdida,2021-09-30 00:00:00,,2021-10-04 00:00:00,35,33.0,Soltero/a,QUITO,PICHINCHA,Si,1060,Normal,Llamada,Aplicaciones
0068W00000RtJkl,7794584746755275336,1P704,Cerrada Ganada,2022-01-19 00:00:00,2022-02-16 00:00:00,,21,20.0,Soltero/a,AMBATO,TUNGURAHUA,No,1584,Normal,Llamada,Aplicaciones
0068W00000Ru9q0,5276991996546797384,1P714,Inscrito,2022-01-27 00:00:00,,,13,23.0,Soltero/a,QUITO,PICHINCHA,No,1019,Normal,,Aplicaciones
0061U00000NB0B2,-5984260079396027690,1P714,Cerrada Perdida,2021-07-22 00:00:00,,2021-10-12 00:00:00,36,30.0,Soltero/a,QUITO,PICHINCHA,No,978,Normal,Llamada,Recomendado
0061U00000NB7lA,1012120119966436729,2P257,Cerrada Perdida,2021-07-23 00:00:00,,2021-09-08 00:00:00,13,28.0,Soltero/a,QUITO,PICHINCHA,Si,315,Convalidado,Simulador Homologación,Recomendado
0061U00000Mm1ay,1860310914815456361,1P781,Cerrada Ganada,2021-06-10 00:00:00,2021-07-13 00:00:00,,33,18.0,Soltero/a,QUITO,PICHINCHA,No,291,Normal,Formulario web,Aplicaciones
0061U00000NAidJ,-6343324307594223341,1H003,Cerrada Perdida,2021-07-19 00:00:00,,2021-08-02 00:00:00,38,18.0,Soltero/a,QUITO,PICHINCHA,No,1355,Normal,Colegios,Aplicaciones
0061U00000NAoHk,8864294685290858639,2P597,Cerrada Perdida,2021-07-20 00:00:00,,2021-09-03 00:00:00,36,23.0,Soltero/a,ESMERALDAS,ESMERALDAS,No,1169,Normal,Google Ad,Recomendado
0061U00000OmxOs,2140131002194195628,1P454,Cerrada Perdida,2021-11-08 00:00:00,,2022-01-11 00:00:00,20,22.0,Soltero/a,QUITO,PICHINCHA,No,681,Convalidado,,Recomendado
0061U00000O4mJ8,-7271725521315336092,1P704,Cerrada Perdida,2021-09-08 00:00:00,,2021-11-11 00:00:00,2,26.0,Divorciado/a,,,Si,1084,Normal,Google Natural Search,Recomendado
0061U00000O69ei,7459751324860700616,1P404,Cerrada Perdida,2021-09-21 00:00:00,,2021-09-30 00:00:00,35,33.0,Soltero/a,QUITO,PICHINCHA,Si,1060,Normal,Llamada,Aplicaciones
0068W00000RtVzY,4741258057631470543,ERA N,Inscrito,2022-01-20 00:00:00,,,34,18.0,Soltero/a,QUITO,PICHINCHA,No,620,Normal,Colegios,Mi colegio
0068W00000RuGgl,-3640035620889395195,1P714,Cerrada Perdida,2022-01-28 00:00:00,,2022-02-10 00:00:00,16,19.0,Soltero/a,QUITO,PICHINCHA,No,945,Normal,Llamada,Aplicaciones
0061U00000NB0Dv,-4085322486069460450,1P704,Cerrada Perdida,2021-07-22 00:00:00,,2021-08-17 00:00:00,8,19.0,Soltero/a,CUENCA,AZUAY,No,1017,Normal,Walk-in,Aplicaciones
0061U00000NB7W5,7978450748052200892,1P464,Cerrada Perdida,2021-07-23 00:00:00,,2021-08-04 00:00:00,36,23.0,Soltero/a,CAYAMBE,PICHINCHA,Si,192,Normal,Llamada,Redes sociales
0061U00000Mm1bq,9153895462460308271,1P704,Cerrada Perdida,2021-06-10 00:00:00,,2021-06-25 00:00:00,36,19.0,Soltero/a,QUITO,PICHINCHA,No,437,Normal,Datos de período anterior,Portales web
0061U00000NAidi,1176933680240740854,1P704,Cerrada Perdida,2021-07-19 00:00:00,,2021-08-17 00:00:00,20,18.0,Soltero/a,QUITO,PICHINCHA,No,384,Normal,Colegios,Portales web
0061U00000NAoH6,8540817152474744132,1P714,Cerrada Perdida,2021-07-20 00:00:00,,2021-08-30 00:00:00,7,20.0,,QUITO,PICHINCHA,Si,240,Normal,Google Natural Search,Portales web
0061U00000OmxSv,944490860194660605,1P714,Cerrada Perdida,2021-11-08 00:00:00,,2021-11-26 00:00:00,34,25.0,Soltero/a,QUITO,PICHINCHA,Si,775,Convalidado,Llamada,Recomendado
0061U00000O4mKa,3621946431191416044,1P704,Cerrada Perdida,2021-09-08 00:00:00,,2021-10-19 00:00:00,16,19.0,Soltero/a,QUITO,PICHINCHA,No,539,Normal,Walk-in,Aplicaciones
0061U00000O5Rei,7459751324860700616,1P014,Cerrada Perdida,2021-09-14 00:00:00,,2021-09-21 00:00:00,35,33.0,Soltero/a,QUITO,PICHINCHA,Si,1060,Normal,Llamada,Aplicaciones
0068W00000RtpwL,-6046267015829912183,1P404,Cerrada Perdida,2022-01-24 00:00:00,,2022-02-14 00:00:00,23,27.0,Soltero/a,QUITO,PICHINCHA,No,440,Normal,,Recomendado
0068W00000RuHpy,-1110967380094455138,1P244,Afluente,2022-01-28 00:00:00,,,16,28.0,Soltero/a,QUITO,PICHINCHA,No,463,Normal,Simulador Homologación,Artículo en un medio
0061U00000NB0GV,-5190307273807597228,1P714,Cerrada Perdida,2021-07-22 00:00:00,,2021-08-04 00:00:00,32,,,QUITO,PICHINCHA,Si,202,Normal,Llamada,Recomendado
0061U00000OmdTG,2286345186969289483,1P714,Cerrada Ganada,2021-11-04 00:00:00,2021-11-29 00:00:00,,34,20.0,Soltero/a,RUMIÑAHUI,PICHINCHA,No,1367,Normal,Google Natural Search,Aplicaciones
0061U00000Mm1co,-664366443197304151,1P724,Cerrada Perdida,2021-06-10 00:00:00,,2021-07-19 00:00:00,20,19.0,Soltero/a,QUITO,PICHINCHA,No,1367,Normal,Chat en línea,Recomendado
0061U00000NAify,92574069638899073,1P594,Cerrada Perdida,2021-07-19 00:00:00,,2021-08-18 00:00:00,23,21.0,Soltero/a,QUITO,PICHINCHA,No,341,Convalidado,,Recomendado
0061U00000NAoM1,5783043813803909361,1P791,Cerrada Perdida,2021-07-20 00:00:00,,2021-07-20 00:00:00,36,17.0,Soltero/a,QUITO,PICHINCHA,No,889,Normal,Colegios,Mailing
0061U00000Omxd0,4756130051775952517,1U001,Cerrada Perdida,2021-11-08 00:00:00,,2021-11-08 00:00:00,22,,,TULCÁN,CARCHI,,823,Normal,Llamada,
0061U00000O4mO9,-8633403508510976333,1P594,Cerrada Perdida,2021-09-08 00:00:00,,2021-10-01 00:00:00,32,18.0,,QUITO,PICHINCHA,No,982,Normal,Google Natural Search,Aplicaciones
0061U00000P4IbM,2745883732256523022,1P704,Cerrada Perdida,2021-12-28 00:00:00,,2021-12-28 00:00:00,32,25.0,Soltero/a,QUITO,PICHINCHA,No,194,Normal,,Aplicaciones
0068W00000RtVUH,-1448493686836821896,1P704,Matrícula,2022-01-20 00:00:00,,,32,19.0,Soltero/a,QUITO,PICHINCHA,No,973,Normal,Colegios,Aplicaciones
0068W00000RuJdQ,5034327925691360422,1P714,Test,2022-01-28 00:00:00,,,16,28.0,Unión Libre,QUITO,PICHINCHA,No,2,Convalidado,Llamada,Aplicaciones
0061U00000NB0Iq,-5370029594818302644,1P254,Cerrada Perdida,2021-07-22 00:00:00,,2021-09-03 00:00:00,36,18.0,Soltero/a,QUITO,PICHINCHA,No,540,Normal,Llamada,Recomendado
0061U00000NB7c3,2286345186969289483,1P704,Cerrada Perdida,2021-07-23 00:00:00,,2021-07-23 00:00:00,22,20.0,Soltero/a,RUMIÑAHUI,PICHINCHA,No,1367,Normal,Google Natural Search,Aplicaciones
0061U00000Mm1cy,6067757419426525259,2P267,Cerrada Perdida,2021-06-10 00:00:00,,2021-06-10 00:00:00,8,18.0,Casado/a,QUITO,PICHINCHA,No,948,Normal,Llamada,Aplicaciones
0061U00000NAieq,8365514010337760322,1P524,Cerrada Perdida,2021-07-19 00:00:00,,2021-07-19 00:00:00,8,19.0,Soltero/a,QUITO,PICHINCHA,No,1328,Normal,Colegios,Aplicaciones
0061U00000NAoI4,-6248741442959186759,2P257,Cerrada Perdida,2021-07-20 00:00:00,,2021-07-27 00:00:00,23,19.0,Soltero/a,QUITO,PICHINCHA,No,405,Normal,Llamada,Recomendado
0061U00000OmxVL,-3760694195976093234,1P704,Cerrada Perdida,2021-11-08 00:00:00,,2022-02-23 00:00:00,20,17.0,Soltero/a,DAULE,GUAYAS,No,1296,Normal,Google Natural Search,Recomendado
0061U00000O4mQ0,1215393020263575937,1P244,Cerrada Perdida,2021-09-08 00:00:00,,2021-09-17 00:00:00,34,18.0,Soltero/a,QUITO,PICHINCHA,No,1344,Normal,Colegios,Mi colegio
0061U00000P4IiA,2745883732256523022,1P704,Cerrada Ganada,2021-12-28 00:00:00,2021-12-29 00:00:00,,32,25.0,Soltero/a,QUITO,PICHINCHA,No,194,Normal,,Aplicaciones
0068W00000RtVae,-431897875134450962,1H564,Cerrada Perdida,2022-01-20 00:00:00,,2022-02-16 00:00:00,18,28.0,Casado/a,SALCEDO,COTOPAXI,Si,799,Normal,Facebook,Recomendado
0068W00000RuKAF,-2656240307009640188,1P724,Cerrada Ganada,2022-01-28 00:00:00,2022-02-17 00:00:00,,34,18.0,Soltero/a,QUITO,PICHINCHA,No,350,Normal,Colegios,Portales web
0061U00000NB0Jo,2605266881397144902,1P714,Cerrada Ganada,2021-07-22 00:00:00,2021-08-20 00:00:00,,22,19.0,Soltero/a,QUITO,PICHINCHA,No,1828,Normal,Google Natural Search,Aplicaciones
0061U00000NB7cr,2286345186969289483,1P714,Cerrada Perdida,2021-07-23 00:00:00,,2021-08-20 00:00:00,22,20.0,Soltero/a,RUMIÑAHUI,PICHINCHA,No,1367,Normal,Google Natural Search,Aplicaciones
0061U00000Mm1d0,6067757419426525259,1P264,Cerrada Ganada,2021-06-10 00:00:00,2021-09-10 16:00:00,2021-10-01 00:00:00,8,18.0,Casado/a,QUITO,PICHINCHA,No,948,Normal,Llamada,Aplicaciones
0061U00000NAifU,-3847889254737911564,1P574,Cerrada Perdida,2021-07-19 00:00:00,,2021-07-26 00:00:00,13,18.0,Soltero/a,ESMERALDAS,ESMERALDAS,No,684,Normal,Formulario web,Portales web
0061U00000NAoJv,494919098438261299,1P264,Cerrada Perdida,2021-07-20 00:00:00,,2021-08-03 00:00:00,22,34.0,Soltero/a,QUITO,PICHINCHA,No,292,Normal,Whatsapp,Aplicaciones
0061U00000OmxY6,7128908828870944446,1P624,Cerrada Perdida,2021-11-08 00:00:00,,2022-01-17 00:00:00,38,28.0,Soltero/a,AMBATO,TUNGURAHUA,Si,1897,Convalidado,Whatsapp,Aplicaciones
0061U00000O4mRm,6675366005799409616,1H564,Cerrada Perdida,2021-09-08 00:00:00,,2021-09-08 00:00:00,32,30.0,,EL CARMEN,MANABI,No,319,Normal,Facebook,Aplicaciones
0061U00000O5Rkq,2745883732256523022,1P704,Cerrada Perdida,2021-09-14 00:00:00,,2021-11-08 00:00:00,32,25.0,Soltero/a,QUITO,PICHINCHA,No,194,Normal,,Aplicaciones
0068W00000RtYv9,-7986668089876029202,ERA N,Cerrada Perdida,2022-01-21 00:00:00,,2022-01-31 00:00:00,34,17.0,Soltero/a,QUITO,PICHINCHA,No,292,Normal,Google Ad,Portales web
0068W00000RuWFF,-2354953275805732160,1H514,Cerrada Perdida,2022-01-31 00:00:00,,2022-02-08 00:00:00,18,32.0,Casado/a,QUITO,PICHINCHA,No,1349,Convalidado,Eventos,Recomendado
0061U00000NB0Nw,5340740918328439861,1P584,Cerrada Perdida,2021-07-22 00:00:00,,2021-08-11 00:00:00,15,19.0,Soltero/a,QUITO,PICHINCHA,No,737,Normal,Colegios,Portales web
0061U00000NB7dL,-7367332960083779601,1P484,Cerrada Perdida,2021-07-23 00:00:00,,2021-09-02 00:00:00,35,17.0,Soltero/a,QUITO,PICHINCHA,No,973,Normal,Colegios,Aplicaciones
0061U00000Mm1gH,-5861529657428720080,1P714,Cerrada Ganada,2021-06-10 00:00:00,2021-07-26 16:00:00,2021-10-01 00:00:00,13,18.0,Soltero/a,QUITO,PICHINCHA,No,1429,Normal,Chat en línea,Recomendado
0061U00000NAik0,8012277489724312920,1P594,Cerrada Ganada,2021-07-19 00:00:00,2021-08-18 08:00:00,2021-10-01 00:00:00,22,19.0,Soltero/a,QUITO,PICHINCHA,No,1976,Normal,,Aplicaciones
0061U00000NAoKA,-7470667302029239283,1P781,Cerrada Perdida,2021-07-20 00:00:00,,2021-08-05 00:00:00,34,20.0,Soltero/a,QUITO,PICHINCHA,No,202,Normal,Google Natural Search,Portales web
0061U00000Omxia,-9171214270710486197,1P724,Afluente,2021-11-08 00:00:00,,,36,17.0,Soltero/a,QUITO,PICHINCHA,No,338,Normal,Colegios,Recomendado
0061U00000O4mVa,-333631263595623751,1P524,Cerrada Perdida,2021-09-08 00:00:00,,2021-10-01 00:00:00,32,35.0,,LOJA,LOJA,Si,1314,Normal,Facebook,Aplicaciones
0061U00000O5Rjn,6200120930853385846,1P704,Afluente,2021-09-14 00:00:00,,,18,19.0,Soltero/a,LATACUNGA,COTOPAXI,No,1513,Normal,Google Ad,Google
0068W00000RtZTa,3814190539657194050,ERA N,Cerrada Perdida,2022-01-21 00:00:00,,2022-01-31 00:00:00,2,20.0,,,,,1532,Normal,Llamada,
0068W00000RulOr,-5885657431086950667,1P254,Cerrada Ganada,2022-02-02 00:00:00,2022-02-08 00:00:00,,8,17.0,Soltero/a,QUITO,PICHINCHA,No,1037,Normal,,Aplicaciones
0061U00000NB0Oj,973879002406715037,1P744,Cerrada Perdida,2021-07-22 00:00:00,,2021-10-11 00:00:00,2,18.0,Soltero/a,QUITO,PICHINCHA,No,1694,Normal,Colegios,Aplicaciones
0061U00000NB7hm,-7603890994990528207,1P734,Cerrada Perdida,2021-07-23 00:00:00,,2021-08-18 00:00:00,23,19.0,Soltero/a,QUITO,PICHINCHA,No,496,Normal,Colegios,Recomendado
0061U00000Mm1km,-349737603534822417,1P244,Cerrada Ganada,2021-06-10 00:00:00,2021-06-22 00:00:00,,7,19.0,Soltero/a,QUITO,PICHINCHA,No,947,Normal,Colegios,Mailing
0061U00000NAiiJ,-8416668721680000823,1P761,Cerrada Ganada,2021-07-19 00:00:00,2021-08-10 00:00:00,,36,19.0,Soltero/a,QUITO,PICHINCHA,No,54,Normal,Chat en línea,Recomendado
0061U00000NfsCs,-7470667302029239283,1P724,Cerrada Ganada,2021-08-05 00:00:00,2021-08-19 00:00:00,,34,20.0,Soltero/a,QUITO,PICHINCHA,No,202,Normal,Google Natural Search,Portales web
0061U00000OmxoU,-7195771608625473536,1P714,Cerrada Perdida,2021-11-08 00:00:00,,2022-01-18 00:00:00,21,18.0,Soltero/a,QUITO,PICHINCHA,No,756,Normal,,Aplicaciones
0061U00000O7tNa,4205345185475599996,2P487,Cerrada Perdida,2021-10-11 00:00:00,,2022-01-03 00:00:00,38,27.0,Soltero/a,QUITO,PICHINCHA,No,731,Convalidado,,Aplicaciones
0061U00000O5RqF,-2172211059253367588,1H564,Cerrada Perdida,2021-09-14 00:00:00,,2021-09-22 00:00:00,15,29.0,Unión Libre,MANTA,MANABI,No,292,Normal,Llamada,Redes sociales
0068W00000Swojq,3814190539657194050,1H564,Afluente,2022-02-14 00:00:00,,,2,20.0,,,,,1532,Normal,Llamada,
0068W00000RuHvw,-943986188325801402,1P734,Inscrito,2022-01-28 00:00:00,,,2,17.0,,QUITO,PICHINCHA,,1026,Normal,Chat en línea,
0061U00000NB0T5,-4263536435476565552,1P484,Cerrada Perdida,2021-07-22 00:00:00,,2021-08-30 00:00:00,33,19.0,Soltero/a,QUITO,PICHINCHA,No,800,Normal,Google Natural Search,Recomendado
0061U00000NB7mt,-5951288987170428706,1P564,Cerrada Perdida,2021-07-23 00:00:00,,2021-09-09 00:00:00,33,18.0,Soltero/a,IBARRA,IMBABURA,No,1159,Normal,Formulario web,Recomendado
0061U00000Mm1mT,-5976906836935963608,1P704,Cerrada Perdida,2021-06-10 00:00:00,,2021-06-10 00:00:00,22,19.0,Soltero/a,QUITO,PICHINCHA,No,1778,Normal,Formulario web,Aplicaciones
0068W00000Ru1cx,-6544930463409730890,1P704,Cerrada Ganada,2022-01-26 00:00:00,2022-02-18 00:00:00,,23,19.0,Soltero/a,QUITO,PICHINCHA,No,901,Normal,Llamada,Recomendado
0061U00000NAoKU,-5902878775573940493,1H564,Cerrada Perdida,2021-07-20 00:00:00,,2021-08-24 00:00:00,20,26.0,Soltero/a,LAGO AGRIO,SUCUMBIOS,No,1484,Normal,Facebook,Portales web
0061U00000Omy1s,6311854083588076767,1P704,Test,2021-11-08 00:00:00,,,32,18.0,Soltero/a,QUITO,PICHINCHA,No,1037,Normal,Formulario web,Aplicaciones
0061U00000O4mlW,4205345185475599996,2P487,Cerrada Perdida,2021-09-08 00:00:00,,2021-10-11 00:00:00,38,27.0,Soltero/a,QUITO,PICHINCHA,No,731,Convalidado,,Aplicaciones
0061U00000O5RvD,-1602522028415419887,1P264,Cerrada Perdida,2021-09-14 00:00:00,,2021-09-27 00:00:00,34,20.0,Soltero/a,QUITO,PICHINCHA,Si,1797,Normal,Llamada,Mi colegio
0068W00000RtO81,5525498025231608948,1H594,Cerrada Perdida,2022-01-19 00:00:00,,2022-01-25 00:00:00,2,38.0,,QUITO,PICHINCHA,,175,Normal,Whatsapp,
0068W00000RuJnz,5413546561897905844,2P487,Inscrito,2022-01-28 00:00:00,,,8,36.0,,,,,1744,Normal,Chatbot,
